FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31023967600,2036,1299,411,314,12,0,0,1587,45,0,27,44,333
31023967700,1906,1181,397,316,10,2,0,1422,70,3,15,58,338
31023967800,1431,873,356,191,9,2,0,1011,22,0,6,81,311
31113957500,481,381,43,51,6,0,0,398,9,0,6,3,65
31133967800,1734,1089,375,257,13,0,0,1394,26,0,2,22,290
31051977600,1688,1114,349,213,12,0,0,1429,22,0,6,11,220
31051977800,1909,1128,414,346,21,0,0,1535,158,1,12,8,195
31121966600,1277,900,223,143,10,1,0,1064,18,2,1,6,186
31121966700,1626,1113,273,231,9,0,0,1358,36,0,3,6,223
31121966800,2105,1461,321,307,16,0,0,1794,52,1,8,16,234
31049955400,1289,950,132,198,8,1,0,1113,30,0,10,7,129
31045950600,1991,1405,246,318,22,0,0,1716,40,2,13,9,211
31045950700,2877,1646,655,537,39,0,0,2389,84,9,31,26,338
31077970900,1492,786,563,133,10,0,0,1291,13,0,3,3,182
31009972400,383,331,19,30,3,0,0,328,3,0,0,0,52
31155968100,2427,1515,464,416,31,1,0,2042,17,2,5,16,345
31155968200,3868,2222,930,682,32,2,0,2870,35,2,7,101,853
31155968300,3272,2025,684,518,43,2,0,2595,59,1,17,54,546
31155968400,3288,2028,577,636,47,0,0,2775,36,0,11,44,422
31155968500,2250,1171,494,526,58,1,0,1958,40,8,7,18,219
31047968000,1621,1118,242,241,19,1,0,1306,89,3,9,13,201
31047968100,977,695,136,140,6,0,0,790,58,0,6,5,118
31047968200,2450,1633,375,406,35,1,0,2092,74,0,9,9,266
31047968300,2165,1337,415,382,29,2,0,1724,193,2,5,7,234
31047968400,2231,823,933,436,38,1,0,832,1155,19,28,74,123
31047968500,2476,1009,995,442,30,0,0,1036,1046,18,35,140,201
31047968600,1048,744,162,138,4,0,0,875,44,0,6,6,117
31065963900,3359,2353,483,489,34,0,0,2869,64,2,14,18,392
31173940100,2527,904,1277,334,12,0,0,2104,101,5,22,87,208
31173940200,1329,277,769,275,8,0,0,1003,82,3,13,60,168
