GEOID20,total_reg,party_dem,party_rep,party_npp,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
32019960103,1098,215,418,351,83,17,2,12,0,820,150,6,10,8,104
32019960104,2223,524,775,702,131,45,4,42,0,1697,297,5,28,22,174
32019960105,2667,555,1157,717,158,41,4,34,0,1993,342,10,54,25,243
32019960106,3378,619,1664,826,168,52,7,42,0,2625,361,5,40,35,312
32019960107,2247,424,883,700,156,39,5,40,0,1698,312,2,37,14,184
32019960108,3156,546,1475,849,199,41,3,43,0,2461,326,5,26,53,285
32019960203,1911,311,981,428,141,27,0,21,0,1600,121,3,19,11,157
32019960204,1445,283,687,330,106,14,2,23,0,1175,112,1,8,21,128
32019960205,1461,257,646,417,106,16,1,18,0,1180,109,6,4,13,149
32019960206,1134,206,542,282,70,16,2,14,0,922,87,1,9,9,106
32019960301,1377,371,532,362,76,21,6,8,0,1009,223,1,13,12,119
32019960303,3823,766,1977,779,200,47,3,49,0,3043,366,3,46,60,305
32019960304,4663,799,2472,976,309,47,2,58,0,3585,560,2,48,38,430
32019960305,3329,749,1475,812,205,36,5,47,0,2452,545,2,21,49,260
32019960801,1415,196,884,247,65,11,3,9,0,1136,132,0,9,7,131
32019960802,1872,264,1137,334,106,17,0,14,0,1479,183,1,15,25,169
32019960901,1457,282,742,338,64,11,2,17,0,1094,207,0,11,11,134
32019960902,1884,371,958,407,115,18,0,15,0,1455,257,1,13,21,137
32033970100,846,211,401,167,51,13,0,3,0,703,56,3,6,13,65
32033970200,2968,515,1683,569,166,13,3,19,0,2380,271,6,25,43,243
32033970300,1369,276,697,293,76,10,0,17,0,1102,126,0,13,12,116
32023960100,1229,184,641,310,68,16,0,7,0,987,96,2,10,16,118
32023960200,1518,244,770,395,75,22,0,12,0,1210,109,23,10,22,144
32023960300,1227,253,496,344,93,15,1,24,0,906,190,4,12,10,105
32023960405,2996,683,1289,745,209,20,5,45,0,2276,328,10,25,57,300
32023960407,1861,503,693,483,128,22,5,27,0,1437,170,41,40,14,159
32023960408,4223,877,2118,853,268,42,6,58,0,3314,366,20,49,67,407
32023960409,4209,825,2095,900,262,50,5,72,0,3199,400,23,76,66,445
32023960410,3965,899,1848,848,260,40,3,67,0,2994,396,36,66,69,404
32023960411,2422,545,1095,569,154,18,4,37,0,1859,239,25,25,40,234
32023960412,2433,535,1213,491,152,17,4,21,0,1898,230,12,34,31,228
32023960413,2197,460,1012,529,136,31,2,27,0,1715,244,4,20,25,189
32023960414,1909,472,840,417,133,24,1,22,0,1497,140,2,31,21,218
32023960415,1376,313,629,311,94,14,0,14,0,1041,138,14,16,32,135
32023960416,2377,561,1010,562,173,30,6,35,0,1834,290,22,26,12,193
32023980500,4,1,2,1,0,0,0,0,0,4,0,0,0,0,0
32027960100,3105,600,1622,686,151,27,1,17,0,2355,430,1,31,26,262
32510000100,2423,781,921,526,126,41,4,24,0,1997,155,2,24,28,217
32510000200,2852,851,1226,568,149,27,3,28,0,2193,282,4,49,39,285
32510000300,3354,850,1636,631,144,45,2,46,0,2689,170,6,68,70,351
32510000400,2630,757,1117,581,117,32,4,22,0,1955,363,3,42,30,237
32510000501,3667,1144,1319,899,200,49,6,50,0,2381,864,6,62,52,302
32510000502,2060,645,731,501,125,20,4,34,0,1526,311,4,24,20,175
32510000601,2050,547,793,528,113,23,3,43,0,1487,319,6,28,37,173
32510000602,1437,420,492,366,104,33,1,21,0,1023,265,4,11,22,112
32510000701,2617,776,1048,574,147,33,1,38,0,1923,412,4,36,29,213
32510000702,2275,661,920,496,132,29,1,36,0,1655,347,2,29,31,211
32510000800,2800,635,1380,576,133,34,1,41,0,2150,294,4,52,48,252
32510000900,3202,939,1241,726,202,32,3,57,0,2233,648,0,30,34,257
32510001001,1952,673,566,549,90,27,4,43,0,1058,725,2,13,23,131
32510001002,2686,698,1222,565,126,34,1,39,0,2013,343,7,28,46,249
32510990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32021970700,2301,581,980,564,132,25,2,16,0,1861,183,35,22,9,191
32021970800,906,293,291,240,72,5,0,5,0,673,100,8,9,13,103
32029970200,3448,738,1660,737,215,56,4,38,0,2865,194,5,40,44,300
32011000100,1139,77,780,192,78,7,0,5,0,891,74,2,17,11,144
32007950200,1314,202,742,259,75,14,3,19,0,1065,126,0,14,11,98
32007950701,3719,556,1981,894,189,56,2,40,0,2585,691,7,64,46,326
32007950702,3588,555,1940,808,205,37,1,41,0,2645,523,3,53,61,303
32007950800,1258,233,578,349,63,21,0,14,0,920,211,6,15,5,101
32007950900,1344,239,650,353,70,17,2,11,0,1003,211,3,5,17,105
32007951000,754,146,321,211,41,19,0,16,0,551,111,0,13,6,73
32007951201,3419,329,2182,654,172,45,1,36,0,2784,231,3,17,44,340
32007951202,1759,253,929,450,83,21,0,23,0,1207,338,3,23,25,163
32007951300,1280,264,495,406,77,18,2,18,0,785,347,4,20,15,109
32007951401,2296,253,1257,602,126,32,3,23,0,1799,284,0,16,20,177
32007951403,2509,288,1552,499,111,23,1,34,0,2069,179,3,26,16,216
32007951404,2224,232,1417,419,101,33,2,20,0,1822,126,2,22,26,226
32007951500,1594,402,433,600,110,28,2,19,0,811,665,0,21,10,87
32007951600,1304,154,695,338,92,10,1,14,0,1079,102,5,8,6,104
32007951700,913,249,332,261,56,6,0,9,0,659,148,5,17,10,74
32013010501,1335,211,781,258,66,8,2,9,0,1000,151,2,23,12,147
32013010502,2189,342,1156,502,136,27,1,25,0,1604,377,1,13,15,179
32013010600,1303,160,751,292,68,17,1,14,0,1005,142,3,14,16,123
32013010701,2586,503,1163,715,146,29,0,30,0,1733,563,10,18,20,242
32013010702,2588,359,1529,550,104,20,4,22,0,1938,398,0,32,22,198
32015000301,1307,224,715,278,71,11,0,8,0,977,221,0,10,4,95
32015000302,1899,251,1185,350,78,21,0,14,0,1453,270,1,13,13,149
32009950100,611,85,337,120,52,10,2,3,0,472,50,14,4,4,67
32031000103,1160,421,260,365,56,17,7,34,0,835,164,16,30,19,96
32031000104,2193,821,488,654,127,44,11,48,0,1584,241,37,68,38,225
32031000105,1926,664,428,640,105,25,5,58,0,1317,267,64,54,31,193
32031000106,1895,622,370,673,112,29,14,74,0,1342,224,84,31,34,180
32031000201,1709,763,320,484,73,24,5,40,0,920,588,13,20,40,128
32031000202,1781,816,290,533,69,29,8,36,0,1236,256,40,28,38,183
