FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34009020101,2694,780,794,1099,7,6,0,0,2185,84,83,32,50,260
34009020102,1741,436,554,740,3,3,1,0,1470,51,13,14,35,158
34009020201,1222,278,334,609,1,0,0,0,1037,11,1,6,11,156
34009020203,1950,484,517,942,4,0,1,0,1686,34,13,14,21,182
34009020205,810,223,230,350,3,0,1,0,706,15,1,3,16,69
34009020206,772,182,240,345,0,4,0,0,667,11,2,3,7,82
34009020301,3683,863,1076,1718,12,4,2,0,3160,67,7,29,51,369
34009020302,4074,854,1250,1932,13,6,1,0,3479,89,3,31,43,429
34009020400,2511,445,825,1218,6,3,0,0,2181,48,3,12,29,238
34009020500,1334,379,501,420,5,1,5,0,707,291,192,3,13,128
34009020600,1635,329,566,716,6,3,3,0,1414,38,4,10,17,152
34009020700,3322,784,1180,1321,11,4,4,0,2889,87,9,9,39,289
34009020800,1805,424,435,943,0,1,1,0,1578,30,4,10,21,162
34009020901,632,104,104,419,3,0,0,0,533,9,0,5,21,64
34009020902,1120,205,268,643,1,0,0,0,962,20,0,4,13,121
34009021001,1520,355,481,672,0,4,0,0,1237,53,9,7,23,191
34009021002,2788,623,1007,1118,13,2,5,0,2267,160,61,20,41,239
34009021100,4180,1215,1387,1534,12,9,5,0,3351,137,217,46,60,369
34009021300,2786,614,683,1462,8,6,2,0,2425,86,10,8,23,234
34009021400,2347,644,874,789,12,3,5,0,1586,432,22,20,46,241
34009021500,1461,424,548,459,7,1,5,0,877,254,162,16,21,131
34009021600,2426,557,720,1124,7,2,1,0,1979,124,10,9,39,265
34009021701,2135,482,662,966,6,5,2,0,1715,87,27,18,28,260
34009021702,1921,368,620,914,4,6,1,0,1590,56,3,11,40,221
34009021803,2453,706,750,966,5,3,1,0,2074,113,6,4,40,216
34009021804,3675,976,1259,1358,18,9,10,0,3043,217,10,11,52,342
34009021805,3253,766,965,1476,10,9,8,0,2682,137,6,18,56,354
34009021806,1846,509,510,805,10,1,2,0,1555,66,7,12,30,176
34009021900,1801,622,467,690,11,3,1,0,1543,31,50,8,16,153
34009022000,1833,576,504,742,3,1,2,0,1496,67,26,8,30,206
34009022101,1028,248,380,387,4,1,1,0,855,42,5,1,15,110
34009022102,4906,1408,1728,1662,23,10,8,0,3370,460,536,68,62,410
34009990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34003001001,2587,728,1011,835,8,0,0,0,1816,138,3,198,148,284
34003001002,2760,789,1016,929,10,2,0,0,2010,123,1,160,106,360
34003002100,1534,465,648,413,2,1,2,0,604,91,13,362,178,286
34003002200,3582,1235,1510,795,11,7,4,0,2219,320,8,519,172,344
34003002300,4191,1448,1718,987,8,8,5,0,2428,292,9,828,181,453
34003003100,3540,1662,1343,499,11,6,6,0,1434,1195,74,214,243,380
34003003200,2878,1387,1035,412,7,6,5,0,1038,1071,77,162,181,349
34003003300,4788,2222,1852,659,9,6,10,0,1765,1774,120,297,360,472
34003003401,1944,819,681,428,5,2,3,0,827,445,38,60,146,428
34003003402,2480,1071,837,550,4,3,5,0,959,606,66,99,162,588
34003003500,2288,1094,873,288,8,7,4,0,780,890,110,168,148,192
34003004001,2241,1122,748,342,8,2,3,0,834,919,56,91,130,211
34003004002,3384,1594,1166,574,14,4,7,0,1339,1470,77,92,183,223
34003005000,4204,1361,1799,992,10,8,5,0,2455,848,9,220,250,422
34003006101,2048,934,769,314,7,3,4,0,723,514,14,271,301,225
34003006102,1956,950,705,281,7,9,1,0,781,544,7,193,259,172
34003006201,3155,1493,1160,469,9,4,6,0,1159,796,12,385,387,416
34003006202,3032,1244,1180,581,7,2,5,0,1000,412,17,555,520,528
34003006301,1731,858,642,196,9,4,4,0,495,731,19,100,205,181
34003006302,2220,1064,855,278,4,4,1,0,802,599,10,205,303,301
34003007001,2705,993,1117,583,3,2,0,0,1468,213,11,553,143,317
34003007002,3201,1163,1390,626,7,9,0,0,1382,155,17,763,252,632
34003008001,3090,994,1317,753,10,4,2,0,1538,207,5,554,228,558
34003008002,2737,973,1137,612,4,4,1,0,1478,222,7,538,159,333
34003009100,3677,1481,1517,661,5,6,0,0,1803,209,8,753,215,689
34003009200,2640,1067,1042,515,4,5,1,0,1564,142,8,278,151,497
34003010100,4426,1618,1785,978,4,8,5,0,2649,809,21,261,245,441
34003010200,2658,1016,1077,541,8,4,5,0,1407,605,15,165,172,294
34003010300,5494,2055,2240,1137,17,12,6,0,3179,1059,47,376,327,506
34003011100,2902,1208,1048,607,3,8,9,0,1162,832,72,242,306,288
34003011200,2999,1222,1102,627,6,12,9,0,1425,704,81,169,269,351
34003011300,3087,1206,1139,696,9,3,7,0,1496,799,28,179,240,345
34003011400,4522,1778,1706,955,17,11,11,0,2260,1084,77,193,428,480
34003012001,3798,1483,1434,820,14,16,5,0,1966,941,43,301,172,375
34003012002,2158,744,778,609,9,3,4,0,1320,350,15,116,103,254
34003013002,3927,1954,1390,535,15,12,1,0,1678,561,56,660,400,572
34003013003,1574,720,627,215,8,0,2,0,589,151,28,440,143,223
34003013004,1711,791,649,251,7,2,5,0,694,288,39,340,150,200
34003014000,5494,1436,1947,2074,8,5,1,0,3780,493,7,315,355,544
34003015100,1927,1016,563,342,2,2,0,0,959,120,61,85,136,566
34003015200,4114,2717,1057,300,8,8,2,0,991,1256,1286,141,168,272
34003015300,3945,2696,1045,147,10,11,6,0,327,961,2376,84,87,110
34003015401,2697,1682,767,212,12,6,7,0,636,889,721,115,88,248
34003015402,1418,728,520,149,8,1,5,0,453,246,248,255,55,161
34003015500,4499,2414,1292,766,10,3,0,0,1802,529,320,312,221,1315
34003016000,4042,1427,1694,891,8,4,4,0,1452,232,16,1501,421,420
34003017101,3861,1660,1345,831,7,2,3,0,1696,257,9,185,659,1055
34003017102,1421,485,579,344,3,3,0,0,467,122,3,83,308,438
34003017200,2969,1169,1143,621,7,9,2,0,1519,519,22,159,276,474
34003017301,388,173,134,77,0,0,1,0,181,64,6,20,36,81
34003017302,777,341,263,166,1,1,1,0,395,110,8,38,84,142
34003017400,12587,4775,4915,2797,25,21,7,0,5888,1761,49,802,1576,2511
34003017501,1238,508,463,256,2,1,1,0,574,198,12,114,127,213
34003017502,1579,611,613,340,3,1,1,0,762,293,2,137,149,236
34003018101,1717,965,509,219,5,3,4,0,409,893,7,62,202,144
34003018102,1059,590,322,127,2,1,3,0,288,481,4,24,154,108
34003018200,3264,1694,1085,430,10,8,7,0,925,1430,20,205,404,280
34003019102,1628,755,630,223,4,7,4,0,515,285,14,429,143,242
34003019103,2385,1044,937,370,8,8,1,0,742,352,43,745,233,270
34003019104,2167,1053,798,300,3,2,3,0,715,337,13,704,148,250
34003019202,1602,689,642,252,4,1,3,0,496,254,15,510,139,188
34003019203,2121,1090,723,291,4,2,0,0,730,250,7,619,186,329
34003019204,2432,1181,800,439,0,5,0,0,873,220,16,758,241,324
34003019303,3369,1560,1271,501,9,6,4,0,1059,473,23,1069,343,402
34003019304,1688,676,686,306,7,3,2,0,568,284,3,442,224,167
34003019305,4407,1984,1595,798,11,3,2,0,1701,346,15,998,402,945
34003019306,1640,614,664,343,4,6,3,0,569,144,6,409,231,281
34003020100,3464,722,1284,1433,4,4,1,0,2271,269,21,183,302,418
34003020200,5832,1203,2187,2407,6,3,4,0,3556,315,22,438,623,878
34003021101,2277,893,937,394,10,7,6,0,1082,679,23,56,151,286
34003021102,1389,488,640,236,4,3,3,0,674,371,5,14,144,181
34003021200,3012,1165,1297,486,8,11,9,0,1408,869,49,79,245,362
34003021300,2726,1085,1136,446,11,7,7,0,1181,903,58,62,183,339
34003021400,2617,1143,1055,371,11,6,7,0,1160,883,92,46,179,257
34003021500,2596,1106,1128,321,10,4,2,0,961,1167,57,58,131,222
34003021600,2393,1024,1050,266,13,15,6,0,805,1139,67,38,97,247
34003022100,3218,1288,1179,735,7,1,1,0,2343,166,36,157,142,374
34003022200,5852,2380,2098,1344,14,3,2,0,3843,304,17,525,299,864
34003023100,1767,958,582,196,4,3,3,0,627,553,279,82,73,153
34003023201,2408,1307,763,309,6,7,3,0,899,628,481,91,133,176
34003023202,1979,1028,661,262,11,3,3,0,709,575,283,87,146,179
34003023301,2131,1037,701,366,5,7,3,0,1057,486,233,85,120,150
34003023303,1758,950,553,227,9,4,4,0,766,314,280,79,109,210
34003023304,1449,745,464,220,5,1,2,0,647,311,165,74,97,155
34003023401,1922,1039,623,236,4,4,3,0,766,460,316,83,88,209
34003023402,3326,1821,1088,351,16,5,9,0,934,1289,615,120,123,245
34003023501,2157,1264,724,135,8,6,2,0,400,587,954,43,59,114
34003023502,2558,1386,820,323,6,8,4,0,892,691,476,118,116,265
34003023601,1906,910,718,244,3,6,5,0,589,777,184,130,91,135
34003023602,1780,958,597,177,6,9,5,0,495,906,213,27,30,109
34003024100,4571,1169,2020,1356,6,6,3,0,2697,265,13,776,290,530
34003024200,3732,1261,1580,865,9,4,3,0,2412,204,4,514,154,444
34003025100,4194,1450,1526,1164,15,8,5,0,2246,859,53,261,347,428
34003025200,4496,1319,1535,1603,6,4,4,0,2922,683,12,253,225,401
34003026100,3603,1054,1442,1080,10,4,1,0,2581,206,9,194,214,399
34003026200,4496,1417,1902,1150,13,6,0,0,3054,339,16,191,240,656
34003027000,3420,883,1244,1269,10,5,0,0,2551,181,6,175,154,353
34003028001,2978,1690,903,356,5,5,2,0,1206,543,17,783,143,286
34003028002,2734,1544,778,389,2,9,3,0,1174,400,15,661,155,329
34003029100,1829,755,802,249,3,4,5,0,727,514,22,262,112,192
34003029200,4406,1816,1781,730,14,14,10,0,1868,1318,45,451,379,345
34003030100,3262,1435,1228,534,10,8,10,0,1332,1162,91,139,203,335
34003030201,2365,1035,936,335,7,10,9,0,886,937,56,75,168,243
34003030202,1965,831,781,315,8,5,6,0,820,749,43,58,101,194
34003030300,2736,1182,1065,435,13,6,3,0,1105,1013,51,133,177,257
34003030401,1902,857,726,281,10,6,4,0,735,636,95,130,121,185
34003030402,2579,1077,1008,448,7,5,6,0,1137,870,39,111,190,232
34003031100,3869,1495,1557,764,13,6,9,0,2112,936,30,154,214,423
34003031200,3182,1114,1266,762,15,4,2,0,1848,731,7,129,154,313
34003031300,3692,1209,1537,902,10,4,7,0,2205,859,10,102,140,376
34003031400,3746,1371,1530,800,10,6,4,0,2173,920,7,101,186,359
34003032102,5056,1190,1955,1879,12,3,3,0,3529,223,19,279,303,703
34003032103,3730,1187,1457,1059,6,5,1,0,2564,245,10,216,223,472
34003032104,1452,421,632,377,6,1,1,0,904,165,55,56,121,151
34003032201,4344,1297,1716,1302,11,5,1,0,2923,245,17,283,255,621
34003032202,3682,1187,1447,1022,9,4,1,0,2478,242,8,284,207,463
34003033100,2776,1119,1083,544,7,6,3,0,1659,566,20,111,138,282
34003033200,1802,659,734,389,5,4,0,0,1022,357,15,86,108,214
34003033300,2161,952,769,416,4,3,3,0,1038,561,62,201,120,179
34003034001,2088,630,692,751,5,5,1,0,1588,164,5,34,72,225
34003034002,3323,834,1150,1316,6,4,1,0,2577,185,12,75,122,352
34003035100,6250,1809,2645,1750,16,4,2,0,4146,368,10,446,450,830
34003035200,4921,1624,2009,1244,16,9,2,0,2960,265,9,292,322,1073
34003036100,1514,556,629,306,1,5,3,0,743,502,19,54,67,129
34003036200,1760,735,716,278,9,2,3,0,866,522,2,128,140,102
34003037100,4002,1429,1694,829,11,5,5,0,2210,776,19,195,366,436
34003037201,2962,1060,1221,644,9,4,2,0,1494,638,3,204,261,362
34003037203,2745,1016,1084,616,9,5,3,0,1415,516,25,157,211,421
34003037204,1657,730,633,264,7,5,3,0,817,451,68,57,93,171
34003038100,3842,1451,1477,877,5,11,5,0,2065,1072,8,122,170,405
34003038200,2521,1011,971,496,17,4,2,0,1167,880,17,76,134,247
34003038300,4173,1497,1713,915,16,9,5,0,2124,1326,6,100,172,445
34003039100,3207,823,1379,973,7,6,4,0,2201,206,14,175,200,411
34003039200,4535,1206,1895,1397,12,3,2,0,3482,298,4,93,183,475
34003039300,2189,558,888,729,8,2,0,0,1622,146,2,69,96,254
34003040001,2939,923,1229,775,6,0,0,0,2065,189,3,174,166,342
