FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35005000201,1611,509,686,367,19,4,0,13,0,828,668,7,11,6,91
35005000202,1659,500,747,377,11,1,0,12,0,796,765,10,14,8,66
35005000301,1623,521,679,366,19,7,0,10,0,809,701,2,4,9,98
35005000302,1307,271,773,230,13,2,0,3,0,820,359,1,24,14,89
35005000400,1824,594,756,428,19,4,0,12,0,812,913,5,8,11,75
35005000500,727,295,242,171,5,1,0,6,0,286,404,3,4,2,28
35005000600,1805,838,505,416,14,6,0,14,0,439,1307,7,7,2,43
35005000700,2082,695,904,424,13,7,0,16,0,903,1060,14,12,10,83
35005000800,2640,792,1262,528,25,4,0,10,0,1288,1204,8,10,10,120
35005000900,1803,400,1055,302,23,3,0,4,0,1104,568,3,14,11,103
35005001001,3110,612,2003,437,26,0,0,10,0,2036,851,6,17,28,172
35005001002,2833,530,1819,438,17,1,0,9,0,1966,620,1,37,30,179
35005001101,2088,751,740,518,24,3,0,29,0,747,1221,9,12,15,84
35005001102,2463,319,1743,343,16,0,0,13,0,1854,441,1,6,10,151
35005001200,762,148,497,102,2,0,0,4,0,515,216,0,4,1,26
35005001300,1165,358,567,213,5,2,0,7,0,487,627,1,1,5,44
35005001400,1190,349,623,191,7,3,0,7,0,533,605,1,5,3,43
35047957200,2273,1616,337,284,6,4,0,9,0,461,1694,4,23,10,81
35047957300,3162,2214,448,456,15,7,0,11,0,901,1999,11,29,29,193
35047957400,2784,2127,283,342,9,6,0,11,0,537,2120,2,21,8,96
35047957501,535,305,150,70,1,1,0,3,0,185,318,1,2,2,27
35047957502,1297,826,286,160,8,6,0,5,0,474,759,1,15,6,42
35047957601,703,469,109,108,6,3,0,3,0,256,402,0,2,8,35
35047957602,502,347,74,66,5,3,0,4,0,191,273,0,4,4,30
35047957603,1851,1220,325,275,6,7,0,7,0,475,1279,3,9,8,77
35047957700,1551,1150,194,188,6,5,0,2,0,352,1127,0,5,3,64
35047957800,2293,1703,272,287,8,6,0,5,0,443,1721,5,11,11,102
35017964100,1794,763,675,310,21,9,1,6,0,1304,305,1,14,14,156
35017964200,1496,481,755,230,13,7,0,2,0,1167,196,1,9,9,114
35017964300,3472,1947,798,672,24,12,0,12,0,1712,1483,8,21,30,218
35017964401,1546,910,263,350,10,6,0,4,0,731,672,0,11,13,119
35017964402,1634,1058,220,322,13,11,0,7,0,823,689,5,14,16,87
35017964500,1494,903,314,246,13,8,0,7,0,550,879,0,2,8,55
35017964600,1654,1155,238,234,10,8,0,6,0,412,1153,1,2,12,74
35017964701,2164,1000,740,375,22,9,0,6,0,1443,496,7,13,17,188
35017964702,1871,836,691,313,7,5,0,11,0,1151,584,2,16,17,101
35017964800,1121,626,306,170,5,3,0,6,0,542,530,0,2,2,45
35033955201,2055,1575,351,113,4,4,0,4,0,396,1597,0,3,7,52
35033955202,1320,917,285,98,7,2,0,4,0,342,912,0,9,8,49
35061940300,662,415,73,166,1,1,0,4,0,100,363,0,14,70,115
35061941400,2005,766,817,381,14,5,0,7,0,926,933,6,20,12,108
35061970101,1518,636,363,465,16,8,0,16,0,557,875,3,8,8,67
35061970103,1683,660,614,359,25,9,0,6,0,784,816,0,3,8,72
35061970104,2193,849,916,380,18,4,0,5,0,998,1044,1,8,22,120
35061970200,3028,963,1496,520,22,7,0,4,0,1813,965,0,18,27,205
35061970302,1470,561,539,335,13,5,0,4,0,699,662,4,15,9,81
35061970304,2319,930,963,388,11,5,1,8,0,1078,1121,0,6,17,97
35061970305,1890,788,729,318,22,14,0,4,0,818,973,1,10,11,77
35061970306,1558,633,485,409,12,2,0,8,0,591,877,1,5,17,67
35061970307,1333,611,276,411,11,2,0,8,0,373,906,0,1,11,42
35061970401,2783,1285,863,579,21,10,0,7,0,1027,1546,1,20,17,172
35061970404,3211,1303,1195,654,23,5,1,13,0,1437,1541,4,11,26,192
35061970405,2170,817,840,460,31,1,0,3,0,1060,859,8,30,32,181
35061970701,2961,1132,1214,549,22,7,0,11,0,1340,1397,2,12,26,184
35061970800,2647,1262,814,518,23,8,0,10,0,915,1584,4,22,14,108
