FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
36059300100,3570,796,1241,1378,3,3,0,0,651,42,5,191,1761,920
36059300300,2893,966,988,819,2,4,0,0,717,182,27,248,931,788
36059300400,4037,1451,1345,1107,3,2,0,0,1069,183,8,453,1219,1105
36059300500,4106,1467,1290,1193,5,5,1,0,1278,125,12,443,943,1305
36059300600,4764,2217,1443,947,7,6,0,0,1683,138,10,1000,639,1294
36059300700,4046,2085,1133,680,3,2,0,0,1730,315,15,558,401,1027
36059300800,2869,1357,890,543,4,0,0,0,1168,176,9,917,160,439
36059300901,1968,844,701,364,0,0,0,0,655,78,12,733,99,391
36059300902,4420,1688,1402,1163,3,7,2,0,1793,114,7,1099,350,1057
36059301000,4640,2111,1262,1098,7,8,0,0,2696,143,8,370,230,1193
36059301101,3838,1740,1127,793,10,4,2,0,2002,795,9,275,234,523
36059301102,3478,1550,915,847,7,5,0,0,2067,232,8,235,181,755
36059301200,4730,2431,1118,985,3,10,0,0,3025,320,20,223,201,941
36059301300,3062,1445,842,643,6,5,0,0,1651,466,140,282,130,393
36059301400,1599,730,410,393,1,1,0,0,1077,60,3,98,68,293
36059301500,2715,719,741,1136,2,7,0,0,1967,110,0,205,148,285
36059301600,3682,1250,1084,1184,4,17,0,0,2071,162,10,535,292,612
36059301700,2113,515,595,910,1,3,0,0,1529,74,4,205,104,197
36059301800,3398,1359,969,911,2,2,2,0,1790,261,435,479,161,272
36059301900,2435,533,720,1091,2,1,0,0,1586,116,2,334,154,243
36059302000,3730,1551,1106,901,6,8,0,0,1801,184,15,391,343,996
36059302101,3152,1279,931,831,3,5,0,0,1415,101,15,248,317,1056
36059302102,2653,1252,765,550,3,5,0,0,1239,76,11,220,285,822
36059302200,2560,1128,785,529,4,6,1,0,953,250,213,472,332,340
36059302300,4058,1720,1279,923,3,1,0,0,1296,199,30,1354,567,612
36059302400,3906,1431,1137,1174,8,3,2,0,2026,279,10,820,309,462
36059302501,2069,842,633,537,2,3,1,0,721,67,18,485,306,472
36059302502,2375,848,726,673,7,7,3,0,929,94,62,389,371,530
36059302600,1702,595,480,526,5,2,0,0,1024,183,16,197,107,175
36059302700,3133,1308,1002,694,5,2,0,0,1343,244,14,923,293,316
36059302800,5048,1931,1597,1290,5,2,0,0,2472,367,14,1224,353,618
