GEOID20,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
38013953300,1268,717,419,132,0,0,1047,19,0,11,5,186
38029966500,2140,1250,709,181,0,0,1739,24,1,5,7,364
38057961600,1615,966,443,206,0,0,1342,11,8,8,11,235
38057961700,1876,1089,609,178,0,0,1479,27,1,11,34,324
38057961800,1748,1120,421,207,0,0,1389,22,8,7,26,296
38081974000,859,461,6,392,0,0,702,4,1,8,12,132
38081974200,1490,762,1,727,0,0,1213,15,0,8,15,239
38053940100,457,49,350,58,0,0,314,26,1,1,40,75
38053962301,1506,665,643,198,0,0,1201,65,2,10,10,218
38053962302,908,392,414,102,0,0,716,31,0,4,21,136
38053962400,2112,812,1052,248,0,0,1659,96,3,20,26,308
38053962500,771,338,371,62,0,0,630,12,0,3,14,112
38071957600,2274,999,966,309,0,0,1850,38,4,17,26,339
38071957700,3041,1290,450,1301,0,0,2459,36,3,20,146,377
38071957800,2352,1263,744,345,0,0,1947,31,1,18,30,325
38089963300,994,534,350,110,0,0,807,22,0,6,7,152
38089963400,2662,1373,863,426,0,0,1995,83,2,22,51,509
38089963501,2124,1138,559,427,0,0,1637,33,3,16,63,372
38089963502,2135,908,929,298,0,0,1611,87,12,15,54,356
38089963600,1144,483,544,117,0,0,875,43,3,8,22,193
38089963700,2078,928,903,247,0,0,1535,74,5,13,41,410
38089963800,2361,1159,925,277,0,0,1816,66,4,12,42,421
38089963900,2375,1445,635,295,0,0,1813,27,0,6,50,479
38089964000,1203,631,471,101,0,0,868,16,0,7,29,283
38073968900,772,368,306,98,0,0,616,6,1,0,3,146
38073969000,911,510,268,133,0,0,738,7,12,5,6,143
38073969100,1260,274,266,720,0,0,1019,21,5,7,18,190
38051972900,1663,1005,486,172,0,0,1380,15,0,5,10,253
38085940800,652,35,0,617,0,0,379,24,3,12,74,160
38085940900,1074,29,1,1044,0,0,655,22,2,12,137,246
38031959600,2036,1167,582,287,0,0,1687,36,0,8,13,292
38099957800,817,504,237,76,0,0,607,27,0,8,27,148
38099957900,572,266,211,95,0,0,395,62,0,10,10,95
38099958000,1288,684,391,213,0,0,985,83,1,23,19,177
38099958100,1277,770,334,173,0,0,981,13,0,12,42,229
38099958200,905,501,288,116,0,0,693,13,3,4,24,168
38099958300,748,492,183,73,0,0,569,3,0,0,17,159
38097970100,1268,703,429,136,0,0,1009,16,0,13,12,218
38097970200,1684,825,609,250,0,0,1302,36,2,11,23,310
38097970300,668,390,221,57,0,0,559,8,0,2,0,99
38097970400,1005,502,390,113,0,0,792,32,1,6,4,170
38021973200,1253,735,379,139,0,0,1015,21,0,3,23,191
38021973300,862,585,192,85,0,0,724,4,2,4,8,120
38021973400,700,330,278,92,0,0,585,13,0,6,0,96
38017000100,3806,1805,570,1431,0,0,3095,56,2,45,59,549
38017000203,1680,526,439,715,0,0,1361,33,2,9,30,245
38017000204,2083,415,292,1376,0,0,1602,51,10,25,26,369
38017000300,1355,386,374,595,0,0,1052,28,4,31,24,216
38017000400,2257,510,512,1235,0,0,1798,56,2,23,31,347
38017000501,1830,199,277,1354,0,0,1452,47,1,18,26,286
38017000502,1297,36,55,1206,0,0,1007,40,4,16,20,210
38017000601,914,63,31,820,0,0,694,27,14,31,12,136
38017000602,1038,83,65,890,0,0,789,27,4,22,30,166
38017000700,750,20,56,674,0,0,579,16,4,5,19,127
38017000801,1866,487,430,949,0,0,1456,28,5,27,27,323
38017000802,2334,343,319,1672,0,0,1771,51,16,57,44,395
38017000901,2992,909,529,1554,0,0,2424,37,3,31,25,472
38017000903,1616,268,198,1150,0,0,1251,43,16,21,45,240
38017000904,2455,1009,673,773,0,0,1922,43,14,40,45,391
38017001003,2132,867,793,472,0,0,1649,38,6,39,45,355
38017001004,2359,854,555,950,0,0,1864,31,18,14,48,384
38017010106,1345,35,39,1271,0,0,926,45,29,35,86,224
38017010107,1028,60,20,948,0,0,753,17,16,35,38,169
38017010109,2066,162,42,1862,0,0,1573,46,17,34,45,351
38017010110,1375,639,387,349,0,0,1042,15,12,25,44,237
38017010111,1220,252,660,308,0,0,799,46,36,22,112,205
38017010201,2728,1271,816,641,0,0,2212,47,3,21,27,418
38017010205,2907,1650,523,734,0,0,2320,40,7,55,58,427
38017010206,3225,767,368,2090,0,0,2545,61,26,22,74,497
38017010303,4205,1433,571,2201,0,0,3218,46,14,79,111,737
38017010306,2288,1205,467,616,0,0,1760,39,11,40,41,397
38017010307,1546,836,109,601,0,0,1240,22,1,35,27,221
38017010308,2597,1276,678,643,0,0,1951,47,32,42,72,453
38017040100,1313,407,146,760,0,0,1128,23,0,8,10,144
