GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
41043020101,5093,1193,1534,2035,41,8,21,0,4152,300,0,76,34,531
41043020102,2182,586,823,610,19,2,20,0,1706,212,3,28,26,207
41043020103,2202,523,783,741,19,1,12,0,1768,183,2,42,20,187
41043020200,1480,424,464,473,13,5,15,0,1227,78,0,26,14,135
41043020300,5762,1975,1726,1637,55,12,41,0,4693,330,5,112,84,538
41043020400,3500,976,1494,734,42,15,38,0,2856,254,12,36,30,312
41043020500,2986,809,1065,895,26,9,25,0,2366,264,6,39,32,279
41043020601,3250,1024,847,1160,21,7,22,0,2686,176,2,38,31,317
41043020602,3597,1068,1260,970,26,9,39,0,2786,347,3,53,42,366
41043020700,4262,1166,1631,1170,43,11,21,0,3466,353,12,37,45,349
41043020801,1801,439,791,419,22,5,17,0,1413,179,5,21,22,161
41043020802,3989,1061,1782,852,47,6,31,0,3041,452,13,43,59,381
41043030100,5150,1011,1620,2214,35,5,23,0,4366,193,3,36,48,504
41043030201,2803,591,952,1035,19,10,25,0,2400,123,1,29,21,229
41043030202,2807,504,888,1210,15,6,17,0,2407,96,2,19,21,262
41043030300,2083,400,652,877,11,6,15,0,1826,66,0,12,20,159
41043030401,5347,995,2015,1974,38,15,36,0,4583,226,3,33,43,459
41043030403,2465,484,955,826,15,10,19,0,2125,111,0,11,18,200
41043030404,3394,661,1257,1237,28,12,32,0,2946,123,1,28,24,272
41043030500,3607,799,1000,1572,29,6,20,0,3181,96,2,24,42,262
41043030600,5003,904,1686,2071,30,3,25,0,4268,253,4,29,43,406
41043030700,3848,1092,1082,1395,28,13,17,0,3146,190,13,34,25,440
41043030801,3359,794,1329,984,37,5,28,0,2754,201,2,39,35,328
41043030802,2922,625,1050,1010,30,12,26,0,2465,127,3,30,29,268
41043030903,5384,1242,1915,1789,50,8,36,0,4492,281,4,62,57,488
41043030904,3742,891,1364,1193,28,9,29,0,3130,212,4,63,36,297
41043030905,2827,541,950,1120,19,9,23,0,2407,120,1,17,21,261
41043030906,3537,674,1113,1519,27,6,29,0,3047,126,3,35,24,302
41019010000,1865,531,651,532,9,4,16,0,1586,63,2,20,23,171
41019020000,3128,774,1091,1023,17,11,22,0,2666,135,0,22,30,275
41019030000,3191,665,1062,1234,26,8,21,0,2776,102,8,33,20,252
41019040000,2332,432,775,955,18,4,18,0,2002,82,2,29,17,200
41019050001,4180,809,1252,1825,36,8,24,0,3588,155,0,35,31,371
41019050003,2795,548,1043,986,18,3,20,0,2319,141,1,24,19,291
41019050004,2804,525,929,1112,14,5,33,0,2379,123,4,16,28,254
41019060000,3212,630,818,1559,21,5,13,0,2746,107,1,45,33,280
41019070000,4829,919,1283,2337,33,8,23,0,4195,178,2,40,41,373
41019080001,2625,597,630,1210,27,2,19,0,2228,108,3,37,43,206
41019080002,3757,892,978,1646,29,8,16,0,3173,138,3,71,41,331
41019090001,3932,878,1328,1465,23,3,29,0,3343,186,3,43,36,321
41019090002,902,204,198,433,7,0,5,0,767,43,1,8,5,78
41019100000,2933,512,1173,1033,32,6,22,0,2422,158,0,32,34,287
41019110000,2629,486,693,1295,19,4,16,0,2238,80,1,27,26,257
41019120001,2241,507,829,740,11,5,14,0,1785,137,1,38,24,256
41019120002,3524,747,1451,1058,35,8,35,0,2927,190,3,35,23,346
41019130001,1983,421,856,532,28,8,31,0,1656,107,0,18,10,192
41019130002,2402,642,808,764,25,9,19,0,2015,117,2,23,21,224
41019140000,4180,957,1369,1536,35,5,33,0,3514,199,5,41,45,376
41019150001,3323,636,1189,1233,27,9,29,0,2825,146,0,31,24,297
41019150002,2269,392,850,880,11,1,19,0,1884,126,1,11,22,225
41019160001,2322,387,837,951,15,1,12,0,1982,109,3,24,15,189
41019160002,3911,737,1492,1390,25,4,26,0,3368,155,3,28,32,325
41019170000,3375,613,1145,1351,40,7,28,0,2936,87,2,30,38,282
41019180000,3764,650,1336,1512,27,7,17,0,3185,173,1,30,39,336
41019190000,3793,711,1549,1261,23,6,38,0,3270,162,1,35,29,296
41019200000,3799,665,1458,1389,25,2,31,0,3203,156,4,30,23,383
41019210000,3639,621,1406,1327,34,5,40,0,3083,194,1,31,29,301
41019990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41031940000,1500,424,924,80,7,3,17,0,884,172,10,30,42,362
41031960100,1104,176,331,515,12,0,16,0,937,68,0,6,12,81
41031960201,2269,439,1109,548,17,8,24,0,1518,526,0,19,36,170
41031960202,4247,947,1633,1376,40,8,37,0,3152,609,10,46,43,387
41031960301,4087,849,1175,1738,20,5,37,0,3531,110,2,36,26,382
41031960303,558,175,136,213,0,3,0,0,467,17,0,4,14,56
41031960304,1713,258,662,659,14,1,15,0,1318,218,2,8,15,152
41031960305,1397,274,496,526,8,1,13,0,1082,167,3,13,10,122
41033360100,1828,394,730,558,21,7,21,0,1523,71,0,10,19,205
41033360300,4873,911,1669,1929,38,7,42,0,4045,269,5,34,42,478
41033360400,3761,713,1194,1601,36,2,26,0,3172,182,2,40,41,324
41033360500,4459,1092,1591,1410,40,6,43,0,3658,293,3,55,32,418
41033360601,2523,617,1031,691,23,6,25,0,2034,168,3,27,24,267
41033360602,3616,815,1174,1339,25,4,30,0,2983,212,1,53,31,336
41033360701,3469,790,1411,973,34,12,36,0,2833,237,5,37,25,332
41033360703,2350,604,809,756,18,8,24,0,1953,149,3,11,22,212
41033360704,2531,525,985,799,26,8,15,0,2092,145,1,32,28,233
41033360800,4737,957,1551,1884,36,12,35,0,3896,271,1,59,61,449
41033360900,2400,480,870,868,20,4,22,0,2016,121,0,24,33,206
41033361000,4635,879,1527,1901,27,10,54,0,3903,237,4,46,43,402
41033361101,4292,857,1506,1634,21,13,25,0,3496,286,4,28,38,440
