FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
45043920100,2196,1087,919,190,0,0,1136,22,949,0,3,86
45043920202,1370,632,567,171,0,0,737,21,538,3,2,69
45043920203,1418,381,745,292,0,0,1073,14,247,1,4,79
45043920204,1696,1206,397,93,0,0,497,12,1152,4,0,31
45043920301,3167,1711,1244,212,0,0,1503,28,1502,9,9,116
45043920302,2199,789,1178,232,0,0,1538,42,469,19,5,126
45043920400,2073,1560,392,121,0,0,520,9,1496,3,4,41
45043920502,2754,721,1568,465,0,0,2183,40,266,9,24,232
45043920504,4689,1236,2967,486,0,0,3827,81,300,14,41,426
45043920506,2734,680,1770,284,0,0,2289,43,79,11,39,273
45043920507,3137,1070,1664,403,0,0,2359,56,447,20,34,221
45043920508,2578,637,1674,267,0,0,2183,40,100,10,36,209
45043920509,1550,360,1018,172,0,0,1351,37,18,4,17,123
45043920510,1501,248,998,255,0,0,1353,18,5,7,18,100
45043920511,3200,721,2037,442,0,0,2700,89,66,24,34,287
45043920601,2644,2107,365,172,0,0,537,25,2018,6,8,50
45043920602,1240,795,295,150,0,0,467,18,730,2,1,22
45043920701,1200,443,628,129,0,0,794,40,293,4,14,55
45043920702,1991,907,863,221,0,0,1101,49,731,8,9,93
45043920800,2432,1772,504,156,0,0,711,12,1677,0,8,24
45043990100,11,3,6,2,0,0,9,2,0,0,0,0
45051010100,1775,702,903,170,0,0,1294,37,359,4,7,74
45051020100,1780,690,869,221,0,0,1320,27,346,4,10,73
45051020201,1967,1066,732,169,0,0,1105,45,735,5,12,65
45051020202,2066,909,978,179,0,0,1248,49,639,4,13,113
45051020301,2893,985,1517,391,0,0,2230,63,385,13,23,179
45051020302,2047,950,915,182,0,0,1258,57,609,2,19,102
45051030102,3312,1350,1571,391,0,0,2404,100,536,9,26,237
45051030104,3989,1806,1726,457,0,0,2626,87,956,20,37,263
45051040101,4449,1738,2167,544,0,0,3273,131,570,41,46,388
45051040102,4129,1732,1844,553,0,0,2892,91,779,19,35,313
45051040103,6526,2262,3104,1160,0,0,5242,178,389,31,85,601
45051040104,2278,774,1162,342,0,0,1859,63,143,13,34,166
45051040105,2337,603,1281,453,0,0,2013,36,46,10,30,202
45051040200,3781,1130,2077,574,0,0,3151,83,179,6,49,313
45051040300,4281,1051,2537,693,0,0,3764,69,58,19,43,328
45051040400,3673,1131,1746,796,0,0,3119,97,81,18,40,318
45051040500,3168,1139,1418,611,0,0,2502,64,246,27,55,274
45051050102,2689,838,1405,446,0,0,2078,107,123,32,71,278
45051050200,2086,563,1076,447,0,0,1742,61,46,16,39,182
45051050303,3330,830,2015,485,0,0,2762,70,68,26,71,333
45051050401,1673,648,665,360,0,0,1200,65,129,19,58,202
45051050402,1890,509,1138,243,0,0,1534,61,33,8,36,218
45051050500,3139,1082,1406,651,0,0,2454,91,206,39,70,279
45051050600,4266,2599,1161,506,0,0,2158,185,1495,27,89,312
45051050700,941,673,157,111,0,0,589,53,226,4,15,54
45051050901,1464,650,512,302,0,0,1036,64,202,29,35,98
45051050902,1624,930,477,217,0,0,939,115,426,22,21,101
45051051000,4773,1650,2463,660,0,0,3840,176,190,42,82,443
45051051201,1418,415,788,215,0,0,1229,20,22,1,17,129
45051051202,2007,625,1000,382,0,0,1754,31,23,8,15,176
45051051301,1235,353,629,253,0,0,1099,15,8,12,8,93
45051051302,2102,543,1275,284,0,0,1873,31,14,5,25,154
45051051403,3618,1192,1918,508,0,0,2915,112,100,69,80,342
45051051404,3730,1178,1875,677,0,0,3038,124,110,35,54,369
45051051405,2665,941,1269,455,0,0,2252,67,67,19,44,216
45051051406,2479,974,1111,394,0,0,2138,52,38,6,20,225
45051051501,2357,872,1056,429,0,0,1795,120,190,20,42,190
45051051502,5239,2224,1975,1040,0,0,3872,249,488,64,92,474
45051051503,1584,588,717,279,0,0,1163,128,130,32,15,116
45051051603,4390,1472,2248,670,0,0,3541,170,182,15,63,419
45051051605,5217,1764,2796,657,0,0,4209,131,300,37,62,478
45051051606,5406,1999,2554,853,0,0,4248,216,284,27,80,551
45051051607,3694,1423,1746,525,0,0,2765,168,340,69,58,294
45051051608,4847,1467,2913,467,0,0,4087,104,81,21,64,490
45051051609,5536,1662,3018,856,0,0,4581,175,124,34,76,546
45051051700,2030,565,845,620,0,0,1709,41,95,12,27,146
45051060101,1749,811,691,247,0,0,1333,53,228,8,12,115
45051060102,1536,522,742,272,0,0,1259,73,70,10,7,117
45051060203,5836,2191,2846,799,0,0,4533,272,371,46,97,517
45051060204,6107,2217,2826,1064,0,0,4625,289,478,38,99,578
45051060206,8645,3201,4269,1175,0,0,6360,408,687,119,176,895
45051060207,4069,1535,1898,636,0,0,2973,224,209,78,114,471
45051060209,4735,1958,2064,713,0,0,3436,233,467,63,117,419
45051060210,1981,707,918,356,0,0,1476,116,96,30,50,213
45051060211,1251,549,424,278,0,0,910,52,112,13,21,143
45051060301,3079,1209,1548,322,0,0,2148,89,604,13,33,192
45051060303,2883,812,1630,441,0,0,2408,65,56,10,48,296
45051060309,1810,570,1030,210,0,0,1466,73,101,5,22,143
45051060310,4340,1776,2025,539,0,0,2852,152,857,66,86,327
45051060403,1783,734,717,332,0,0,1301,98,224,9,17,134
45051060404,1687,612,814,261,0,0,1280,57,142,18,24,166
