GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
46033965100,4847,2912,787,352,15,1,9,0,4163,92,1,29,48,514
46033965200,2070,1160,409,134,12,0,2,0,1735,46,0,13,16,260
46087964600,2039,1053,612,99,7,0,0,0,1614,31,0,8,21,365
46087964700,1579,878,342,101,5,0,2,0,1322,20,0,7,10,220
46043969600,2033,1570,263,58,1,0,0,0,1648,17,0,43,9,316
46123971600,1605,1035,359,53,3,1,0,0,1322,15,2,15,10,241
46123971700,2077,1220,476,111,5,0,3,0,1794,29,0,17,29,208
46045962100,1493,862,381,70,3,0,0,0,1209,10,0,16,7,251
46045962200,1066,638,273,43,2,0,1,0,843,14,0,21,3,185
46009967600,2209,1088,697,109,8,0,0,0,1698,31,1,18,14,447
46009967700,1577,1008,349,61,1,0,0,0,1303,27,0,4,14,229
46005956600,1364,810,319,75,1,0,5,0,1112,15,1,8,3,225
46005956700,1250,661,372,67,0,0,0,0,1108,8,0,6,3,125
46005956800,918,413,301,76,3,0,1,0,726,42,0,17,6,127
46005956900,1224,434,451,145,5,0,8,0,925,87,1,32,8,171
46005957000,3007,1253,937,309,7,1,7,0,2362,143,3,62,20,417
46005957100,1711,771,509,167,3,0,7,0,1293,86,3,64,17,248
46027965700,3306,1089,1285,380,5,1,2,0,2694,69,4,54,32,453
46027965800,1981,848,672,119,13,0,1,0,1714,17,1,14,6,229
46027965900,1945,462,774,295,17,2,6,0,1562,50,16,12,25,280
46021964100,1069,863,110,23,1,0,0,0,910,10,0,3,1,145
46061964100,3833,2000,868,255,7,0,6,0,3184,41,0,12,15,581
46097961600,1500,648,543,76,2,0,2,0,1250,19,1,6,27,197
46102941000,3773,262,2623,372,7,0,20,0,2810,189,11,105,276,382
46102941100,3462,219,2356,371,8,3,17,0,2530,196,6,153,268,309
46102941200,1178,73,767,172,1,0,10,0,831,82,2,30,100,133
46023940200,1498,513,743,88,1,0,1,0,1082,31,0,9,63,313
46023940300,1888,610,926,92,1,0,1,0,1357,54,0,13,83,381
46023970100,1895,1265,408,50,5,0,0,0,1549,15,4,9,2,316
46137941600,776,215,385,65,2,0,2,0,602,30,3,14,47,80
46091950800,2784,1139,1110,113,6,0,3,0,2243,27,0,18,38,458
46083010103,3266,1289,965,347,20,1,4,0,2561,99,21,47,49,489
46083010107,3832,1823,863,417,19,1,4,0,3105,71,6,19,67,564
46083010109,3775,2124,782,297,13,0,2,0,3072,47,6,54,64,532
46083010110,3301,1410,845,382,14,1,2,0,2617,77,16,57,60,474
46083010111,2914,1642,674,172,8,0,2,0,2348,37,3,49,50,427
46083010112,3137,1461,817,307,12,0,1,0,2536,45,8,36,43,469
46083010113,2284,1199,541,201,7,0,1,0,1854,27,4,30,23,346
46083010114,2473,1413,485,185,5,0,1,0,2043,21,2,8,46,353
46083010115,3968,1959,862,366,18,0,4,0,3302,55,2,21,36,552
46083010116,4288,2144,1065,385,17,0,4,0,3461,81,5,56,57,628
46083010200,2251,1174,545,141,5,1,2,0,1918,26,0,10,17,280
46083010300,3053,1516,761,210,19,0,0,0,2528,19,4,21,34,447
46083010400,1751,965,414,88,5,0,1,0,1465,15,0,11,11,249
46065977700,4034,2579,733,225,14,0,3,0,3363,53,3,33,50,532
46065977800,3110,1876,653,156,11,3,4,0,2554,55,1,25,46,429
46065977900,1815,888,525,136,14,1,2,0,1472,53,0,18,42,230
46065978000,2176,1455,396,86,10,0,1,0,1865,29,2,6,22,252
46103010201,1536,511,471,257,6,2,6,0,1182,78,8,10,61,197
46103010202,1535,472,492,274,15,2,7,0,1162,59,3,8,39,264
46103010300,1799,567,588,316,9,0,3,0,1346,96,7,15,64,271
46103010400,1989,678,607,331,17,1,1,0,1551,82,9,17,47,283
46103010500,1167,354,377,199,8,1,5,0,905,60,4,19,23,156
46103010600,1992,798,581,294,13,2,5,0,1650,63,1,13,52,213
46103010700,2219,848,662,323,15,1,1,0,1786,86,3,11,40,293
46103010800,2550,1032,797,268,28,1,4,0,2106,64,4,32,27,317
46103010904,3032,1569,778,307,12,1,0,0,2498,85,12,20,30,387
46103010905,4080,2231,879,433,25,3,3,0,3351,112,10,26,69,512
46103010906,3598,1785,753,452,31,2,4,0,2910,114,11,32,37,494
46103010907,1677,870,373,185,6,1,2,0,1355,43,2,8,23,246
46103010908,4208,1991,920,579,22,0,7,0,3494,139,18,33,49,475
46103011001,1738,842,438,160,17,0,4,0,1476,34,2,8,27,191
46103011002,4781,2825,939,415,18,1,3,0,3972,73,7,49,95,585
46103011004,5408,3076,1057,513,22,3,4,0,4509,101,2,56,92,648
46103011005,2244,1351,327,233,12,1,4,0,1898,39,2,6,25,274
46103011100,1737,716,494,204,18,1,7,0,1418,55,3,11,35,215
46103011200,1751,773,496,174,8,2,3,0,1429,54,1,14,31,222
46103011300,4832,2642,1045,467,30,1,8,0,4056,107,5,29,71,564
46103011400,14400,6817,2758,2385,96,4,23,0,11904,366,15,116,185,1814
46103011601,2250,1388,262,296,6,0,2,0,1886,39,4,22,29,270
46103011602,2436,1507,387,225,9,1,3,0,2075,43,1,12,31,274
46103011700,3124,1770,552,378,18,1,3,0,2630,101,6,22,23,342
46103011800,2128,896,436,400,21,3,4,0,1783,86,3,24,18,214
46125965100,2807,1599,613,148,5,0,6,0,2327,25,0,27,44,384
46125965200,2690,1491,648,95,5,0,2,0,2232,19,0,15,28,396
46085940100,554,38,391,48,2,0,1,0,371,26,1,9,51,96
46085972600,1537,1025,328,57,4,0,0,0,1281,23,0,9,19,205
46055960100,1449,1150,163,26,4,0,1,0,1296,16,0,4,15,118
46121940100,1113,91,832,49,1,0,1,0,802,33,3,48,105,122
46121940200,2403,335,1556,188,3,0,2,0,1727,67,6,54,179,370
46135966100,1489,546,503,129,12,1,1,0,1207,45,7,12,16,202
46135966200,3655,1774,993,227,12,1,1,0,3009,90,1,15,34,506
46135966301,2459,1201,636,147,8,1,0,0,1994,26,2,20,14,403
46135966302,3758,1653,1072,325,16,0,0,0,3003,89,2,37,42,585
46135966400,2445,1217,645,144,12,0,3,0,2014,35,2,12,22,360
46007941000,607,222,227,62,3,0,1,0,501,15,0,10,25,56
46007941200,1191,452,529,91,0,0,1,0,985,30,4,17,53,102
46063968700,830,690,62,19,2,0,0,0,683,10,0,8,5,124
46057955100,1723,1005,387,99,2,0,1,0,1344,21,3,32,5,318
46057955200,1930,1491,223,68,2,0,1,0,1503,14,0,13,9,391
46059975600,1076,764,211,17,1,0,1,0,914,5,0,6,0,151
46059975700,1185,725,319,30,3,0,1,0,1014,7,1,5,8,150
46053971100,1423,866,384,23,2,0,0,0,1126,23,2,21,7,244
46053971200,1226,726,344,18,1,0,0,0,1028,12,0,5,19,162
46111962100,1534,873,412,93,5,0,2,0,1326,10,0,2,11,185
46011958600,2564,1226,567,266,4,0,3,0,2088,20,0,14,28,414
46011958700,3653,1863,886,270,20,0,3,0,2999,58,6,20,37,533
46011958803,3405,1495,906,409,15,2,3,0,2759,37,5,41,55,508
46011958804,1296,436,439,161,8,1,1,0,1046,25,2,18,22,183
46011958805,1172,422,315,190,11,0,0,0,943,31,7,10,14,167
46011958900,2486,975,754,278,9,2,2,0,2004,36,5,23,21,397
46011959000,3234,1400,957,306,8,1,1,0,2562,69,3,93,49,458
46117960100,2105,1328,461,93,3,0,7,0,1824,32,7,22,27,193
46051953100,3338,1749,883,162,8,0,4,0,2733,34,3,25,18,525
46051953300,1450,712,436,68,1,0,4,0,1162,5,1,10,5,267
46089963100,1621,1184,221,59,8,0,1,0,1179,19,0,10,11,402
46105968300,2012,1369,318,109,5,0,2,0,1739,13,1,6,17,236
46069976700,884,604,184,10,0,0,2,0,733,6,0,6,4,135
46013951300,3709,1861,1148,158,13,0,4,0,2962,61,8,52,44,582
46013951400,4428,2206,1359,250,21,0,2,0,3539,92,5,32,64,696
46013951500,1272,444,465,94,11,1,1,0,962,42,3,19,23,223
46013951600,2350,932,800,177,6,1,4,0,1920,43,1,28,32,326
46013951700,2480,1197,779,127,5,1,1,0,2009,50,0,35,34,352
46013951800,3297,1537,1128,195,7,0,7,0,2608,73,4,59,71,482
46013951900,2294,1064,838,78,2,0,5,0,1869,16,1,16,8,384
46013952000,2970,1360,1110,110,13,2,6,0,2453,39,0,8,46,424
46041941500,1428,153,898,193,1,0,6,0,1103,54,4,10,74,183
46041941700,2335,700,1258,107,4,0,3,0,1878,55,6,23,117,256
46119979100,968,673,188,15,0,0,1,0,843,9,0,6,8,102
46047964100,2281,1522,291,123,14,0,11,0,1928,32,2,18,17,284
46047964200,2812,1503,583,207,12,0,17,0,2361,68,5,26,43,309
46079960100,1681,953,438,76,6,0,0,0,1365,23,0,10,11,272
46079960201,3335,1445,904,267,15,4,1,0,2817,46,1,30,31,410
46079960202,2236,1074,670,177,10,0,1,0,1885,32,0,16,14,289
46079960300,1765,948,495,67,3,0,1,0,1508,13,0,12,19,213
46037952700,1063,479,391,22,3,0,3,0,895,9,0,3,8,148
46037952800,1380,637,486,36,3,0,2,0,1113,9,0,4,19,235
46037952900,1289,460,615,22,2,0,3,0,1012,12,0,4,22,239
46067968600,2100,1511,296,62,7,0,0,0,1649,14,0,9,20,408
46067968700,1505,843,417,74,0,0,0,0,1244,18,3,1,3,236
46067968800,1180,837,160,70,0,0,0,0,886,16,1,3,5,269
46025955800,2283,1344,589,67,1,0,9,0,1895,28,1,11,17,331
46049961100,1441,985,229,21,1,0,1,0,1199,11,0,4,6,221
46099000100,4651,1697,1264,791,29,1,6,0,3661,161,65,78,77,609
46099000201,2227,635,826,363,12,0,5,0,1676,108,48,33,60,302
46099000202,1453,480,462,229,6,0,5,0,1078,27,42,25,39,242
46099000300,1924,461,753,291,19,2,6,0,1341,154,40,40,49,300
46099000401,1560,487,622,171,11,0,3,0,1187,66,48,13,24,222
46099000405,2466,886,829,321,9,1,1,0,1718,112,71,115,72,378
46099000406,1568,485,581,197,8,2,2,0,1191,70,24,19,36,228
46099000407,3176,1297,999,327,17,0,5,0,2420,106,29,47,52,522
46099000408,2340,897,769,299,7,0,2,0,1618,93,69,118,96,346
46099000500,3467,1124,1062,592,17,4,7,0,2696,148,36,43,52,492
46099000600,1372,375,567,151,12,1,3,0,1073,56,16,18,16,193
46099000701,891,243,320,135,4,1,1,0,636,36,47,9,23,140
46099000702,1343,312,508,206,10,1,4,0,1022,65,35,9,36,176
46099000900,1742,472,647,238,16,0,4,0,1280,90,43,22,32,275
46099001001,1846,630,587,227,9,2,1,0,1436,99,11,18,24,258
46099001002,4007,1442,1186,494,24,1,4,0,3168,178,23,41,45,552
46099001105,3929,1657,1116,416,12,1,7,0,3079,103,22,67,74,584
46099001107,2464,1047,745,232,15,1,3,0,1989,48,10,26,37,354
46099001108,3038,1216,990,328,14,3,3,0,2442,74,20,24,40,438
46099001109,1965,744,521,232,6,0,0,0,1579,62,53,17,22,232
46099001110,1603,564,481,221,8,0,2,0,1216,65,13,21,34,254
46099001111,5478,2594,1500,506,25,0,4,0,4393,93,6,66,92,828
46099001112,3115,1447,822,307,7,0,4,0,2494,61,6,59,53,442
46099001200,3300,1394,1060,283,10,3,6,0,2726,69,11,32,52,410
46099001501,1327,385,444,181,7,0,3,0,1022,46,9,16,26,208
46099001502,1168,356,405,163,4,3,0,0,900,62,6,15,10,175
46099001600,2302,823,894,172,6,1,1,0,1946,38,2,28,29,259
46099001700,1391,474,474,147,10,1,4,0,1110,37,7,13,19,205
46099001801,4335,1770,1433,407,17,2,8,0,3475,99,29,38,67,627
46099001804,2504,975,835,233,9,0,1,0,2006,53,28,36,60,321
46099001805,2739,1385,732,211,11,0,0,0,2174,51,3,54,19,438
46099001806,3311,1472,971,344,8,0,1,0,2647,75,16,46,76,451
46099001901,1477,624,478,110,9,0,2,0,1201,23,10,8,24,211
46099001902,4109,2044,1112,290,22,2,0,0,3467,56,0,26,55,505
46099010101,3357,1585,891,300,15,2,2,0,2761,36,2,19,26,513
46099010102,2817,1445,749,187,5,0,1,0,2322,37,1,18,33,406
46099010200,1953,1052,513,112,6,0,0,0,1638,8,0,1,9,297
46099010300,4280,2078,1103,387,13,0,2,0,3589,34,8,28,33,588
46099010401,2868,1536,602,295,7,0,3,0,2295,48,2,44,60,419
46099010402,1794,905,471,131,9,0,3,0,1490,37,1,13,19,234
46099010403,1724,928,353,153,5,0,1,0,1400,15,0,8,33,268
46099010404,4278,2006,1057,345,16,1,7,0,3568,54,5,32,40,579
46099010405,3225,1262,905,417,14,0,2,0,2479,89,30,37,67,523
46099010406,2581,1211,637,293,18,0,1,0,2072,37,4,40,32,396
46099010501,3670,1783,883,332,10,1,8,0,3049,58,2,25,34,502
46099010502,2711,1228,697,261,5,0,3,0,2248,37,1,18,28,379
46099010600,2703,883,932,296,15,2,5,0,2145,77,6,25,39,411
46095940300,1051,430,440,36,3,0,0,0,875,24,0,8,38,106
46109940400,1707,437,954,95,2,0,8,0,1296,31,0,20,45,315
46109940700,1327,503,494,64,3,0,7,0,1141,16,0,12,13,145
46109940800,1050,259,581,56,2,0,5,0,785,29,2,5,31,198
46109950400,1344,566,460,70,1,0,1,0,1100,13,0,8,10,213
46107000100,1527,1118,247,31,1,0,3,0,1290,15,0,8,15,199
46077958100,2203,1273,523,145,4,1,1,0,1881,28,0,7,26,261
46077958200,1314,802,334,75,1,0,1,0,1090,6,0,5,5,208
46127020100,2346,1104,662,190,6,0,0,0,2019,25,1,8,16,277
46127020200,1892,910,474,171,8,0,0,0,1566,35,1,7,9,274
46127020301,3394,1805,481,383,10,0,1,0,2793,78,5,56,41,421
46127020302,3241,1409,793,321,6,0,4,0,2718,69,3,32,33,386
46081966101,3107,1972,496,195,13,0,4,0,2608,49,1,24,45,380
46081966102,1725,903,388,131,10,1,3,0,1441,19,1,3,24,237
46081966200,2917,1434,724,234,25,1,3,0,2420,66,1,23,24,383
46081966301,3364,1852,646,288,26,1,3,0,2802,71,0,21,47,423
46081966303,1745,911,398,137,14,2,2,0,1473,32,0,17,18,205
46081966304,1496,850,294,94,9,1,2,0,1279,35,0,12,9,161
46081966601,1468,806,283,121,5,1,2,0,1194,25,1,9,10,229
46081966602,1742,769,460,170,10,0,3,0,1467,51,0,7,17,200
46093020200,357,183,59,64,6,0,1,0,269,30,0,7,5,46
46093020302,4358,2815,612,291,24,0,4,0,3576,93,4,30,49,606
46093020303,3838,2121,675,321,30,1,2,0,3200,107,4,32,40,455
46093020304,1119,666,220,56,6,0,0,0,952,22,0,6,11,128
46093020401,2080,1226,392,152,11,0,1,0,1735,49,1,17,18,260
46093020402,2365,1373,479,165,14,0,1,0,1967,47,2,14,15,320
46093020500,3057,1904,527,253,23,0,3,0,2568,73,9,23,48,336
46071941200,757,139,456,55,3,0,1,0,568,23,2,12,73,79
46071961100,852,584,147,47,5,0,8,0,698,26,0,9,15,104
46035962600,1826,1006,465,82,0,0,1,0,1551,16,0,12,17,230
46035962700,3587,1870,972,189,5,1,3,0,2993,47,0,19,34,494
46035962801,1495,653,416,154,5,0,3,0,1211,53,0,12,16,203
46035962802,1791,867,524,126,8,1,3,0,1476,39,0,3,19,254
46035962900,2880,1397,748,227,8,3,4,0,2385,59,2,19,16,399
46039953600,1978,1002,522,111,4,0,1,0,1647,15,1,9,11,295
46039953700,863,441,207,58,4,0,1,0,709,6,2,3,7,136
46101959600,2112,1007,620,116,10,0,1,0,1778,15,0,12,19,288
46101959700,1829,514,834,178,3,0,1,0,1482,55,0,22,38,232
46129965100,1355,1041,187,21,2,0,0,0,1104,21,0,6,12,212
46129965200,2414,1389,621,98,6,0,1,0,1993,27,1,10,48,335
46019967600,1605,1060,259,80,6,0,0,0,1396,11,0,11,13,174
46019967701,2901,1887,382,183,23,1,2,0,2482,73,0,21,11,314
46019967702,2069,1165,342,144,26,0,0,0,1730,74,0,11,21,233
46003973600,1698,821,626,65,2,0,1,0,1502,27,0,11,12,146
46015973100,1552,803,527,50,1,0,1,0,1277,18,0,7,11,239
46015973200,1715,745,602,99,3,1,0,0,1415,29,2,9,11,249
46029954100,2352,1323,597,120,5,0,3,0,1931,11,0,11,12,387
46029954301,2494,1178,672,221,11,0,3,0,2060,44,0,20,25,345
46029954302,3507,2030,788,210,9,0,3,0,2862,29,0,26,31,559
46029954401,1435,630,405,142,3,0,3,0,1191,19,0,11,11,203
46029954402,1142,411,367,130,1,2,2,0,912,25,0,5,7,193
46029954501,1250,591,326,110,5,0,0,0,1002,27,0,8,16,197
46029954502,3021,1640,705,213,12,1,3,0,2524,43,0,13,19,422
46029954600,1561,795,454,83,1,1,1,0,1303,8,0,7,13,230
46031941000,866,342,357,47,1,0,1,0,717,22,1,17,34,75
46031941100,1229,215,704,135,7,0,2,0,923,35,2,22,78,169
46073974100,1145,587,382,38,6,0,0,0,964,17,0,4,6,154
46075091600,1088,518,361,84,1,0,1,0,845,33,1,25,32,152
46115000100,1214,650,369,38,1,0,3,0,1021,11,0,8,10,164
46115000200,1487,769,458,56,4,0,1,0,1265,18,1,12,12,179
46115000300,1218,698,359,38,2,0,1,0,1011,19,0,1,8,179
46017940200,737,107,508,63,1,0,1,0,563,16,1,2,65,90
