FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48135000100,1908,589,935,384,0,0,1145,638,7,18,6,94
48135000300,812,215,334,263,0,0,542,221,2,6,2,39
48135000400,2615,957,1201,457,0,0,1462,990,6,30,13,114
48135000500,2113,889,841,383,0,0,1077,896,28,16,9,87
48135000600,2477,1412,596,469,0,0,859,1502,26,12,7,71
48135000700,1741,976,368,397,0,0,588,1044,29,28,8,44
48135000800,1852,791,638,423,0,0,860,885,9,17,8,73
48135001000,2276,1260,728,288,0,0,746,1448,16,13,11,42
48135001100,2708,1783,486,439,0,0,596,2027,21,13,6,45
48135001300,2401,1228,756,417,0,0,991,1309,12,9,5,75
48135001500,1801,1221,269,311,0,0,397,1337,22,3,5,37
48135001600,3029,1273,1200,556,0,0,1580,1272,33,21,7,116
48135001700,3223,1010,1764,449,0,0,2014,988,24,32,18,147
48135001800,1562,1346,86,130,0,0,156,820,567,5,0,14
48135001900,2397,2054,180,163,0,0,199,2013,139,13,1,32
48135002000,1614,1281,144,189,0,0,225,1251,119,4,2,13
48135002200,1976,1134,523,319,0,0,600,1312,5,6,3,50
48135002300,1572,452,820,300,0,0,1023,401,27,31,12,78
48135002400,2733,836,1503,394,0,0,1760,778,31,35,15,114
48135002501,4053,1696,1763,594,0,0,1889,1846,31,37,26,224
48135002502,3370,1175,1642,553,0,0,1951,1162,32,37,21,167
48135002503,2318,745,1049,524,0,0,1349,737,39,49,17,127
48135002701,3249,1551,1106,592,0,0,1322,1782,10,20,13,102
48135002702,2295,1260,604,431,0,0,820,1410,8,8,3,46
48135002801,2369,1501,484,384,0,0,599,1719,2,2,5,42
48135002803,2458,1250,659,549,0,0,934,1425,1,8,7,83
48135002804,2373,1324,669,380,0,0,783,1514,2,3,4,67
48135002900,1992,452,1300,240,0,0,1380,456,8,26,20,102
48135003001,915,179,551,185,0,0,686,184,4,5,0,36
48135003002,3825,1317,1873,635,0,0,2126,1355,40,44,33,227
48135003003,1963,1268,408,287,0,0,453,1450,1,8,6,45
48135003004,2803,727,1586,490,0,0,1676,790,25,64,45,203
48135003100,1433,914,246,273,0,0,368,1011,3,14,6,31
48319950100,1904,354,1372,178,0,0,1402,358,2,4,18,120
48319950200,1116,153,885,78,0,0,934,79,5,4,8,86
48273020101,2134,1157,785,192,0,0,931,1070,3,10,15,105
48273020102,1486,988,402,96,0,0,394,1039,0,4,7,42
48273020200,2781,2452,194,135,0,0,255,2471,7,7,5,36
48273020301,972,784,112,76,0,0,177,762,7,7,3,16
48273020302,1774,1151,398,225,0,0,619,1014,15,20,19,87
48273020401,2887,1774,796,317,0,0,941,1785,13,16,13,119
48273020402,1488,1124,225,139,0,0,366,962,91,16,10,43
48273020501,1522,855,417,250,0,0,569,819,10,22,19,83
48273020502,2093,1578,371,144,0,0,469,1532,4,16,3,69
48273990000,0,0,0,0,0,0,0,0,0,0,0,0
48245000101,3213,1970,844,399,0,0,1488,264,1174,68,54,165
48245000102,1291,970,191,130,0,0,349,111,774,7,3,47
48245000103,1641,1565,54,22,0,0,192,61,1332,14,8,34
48245000200,3082,2543,340,199,0,0,668,188,2089,25,17,95
48245000304,3719,2226,957,536,0,0,1953,362,1089,62,49,204
48245000306,2499,990,1134,375,0,0,1947,163,112,27,43,207
48245000307,2162,1184,496,482,0,0,1148,162,603,75,40,134
48245000309,1804,912,638,254,0,0,1202,184,218,66,23,111
48245000310,3375,1464,1481,430,0,0,2316,232,488,73,60,206
48245000311,2553,955,1364,234,0,0,1956,167,140,55,39,196
48245000312,2750,1138,1266,346,0,0,1783,233,216,231,83,204
48245000313,1682,1074,201,407,0,0,736,128,655,30,35,98
48245000314,2126,891,1039,196,0,0,1488,153,164,101,74,146
48245000400,2711,1376,946,389,0,0,1775,202,483,34,45,172
48245000500,1253,1015,112,126,0,0,314,162,722,13,12,30
48245000600,2842,2644,88,110,0,0,313,291,2158,14,7,59
48245000700,1716,1656,36,24,0,0,154,57,1461,6,7,31
48245000900,839,745,23,71,0,0,123,50,638,5,4,19
48245001100,1394,872,289,233,0,0,767,152,396,19,5,55
48245001200,1051,758,95,198,0,0,391,167,420,18,7,48
48245001301,2931,1998,570,363,0,0,1184,330,1215,36,28,138
