FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
50021962100,1445,641,377,427,0,0,1266,19,0,9,13,138
50021962200,2901,1546,615,740,0,0,2572,33,1,19,17,259
50021962300,1406,670,298,438,0,0,1249,21,0,0,18,118
50021962400,2214,887,616,711,0,0,1899,21,6,9,22,257
50021962500,1194,586,241,367,0,0,1049,26,1,3,11,104
50021962600,1579,754,329,496,0,0,1410,14,0,4,9,142
50021962700,2623,1119,550,954,0,0,2321,38,1,16,25,222
50021962800,2620,1153,765,702,0,0,2215,42,7,33,39,284
50021963000,3682,1858,771,1053,0,0,3152,82,0,36,42,370
50021963100,1962,1233,417,312,0,0,1694,46,3,10,20,189
50021963200,1925,1108,364,453,0,0,1661,35,2,18,29,180
50021963300,3307,1815,738,754,0,0,2909,66,4,16,30,282
50021963400,1793,773,382,638,0,0,1607,25,1,8,20,132
50021963500,1213,626,261,326,0,0,1097,9,0,7,8,92
50021963600,2965,1287,769,909,0,0,2565,62,1,23,20,294
50021963700,1884,993,421,470,0,0,1686,22,0,6,20,150
50021963800,2973,1304,904,765,0,0,2636,29,3,9,36,260
50021964000,2697,1267,655,775,0,0,2382,35,2,15,32,231
50021964200,1081,538,214,329,0,0,939,18,0,3,6,115
50021964300,1080,542,240,298,0,0,939,17,0,9,10,105
50015953000,1678,807,417,454,0,0,1533,11,0,6,16,112
50015953100,1523,771,468,284,0,0,1334,27,0,6,8,148
50015953200,2121,1099,640,382,0,0,1886,30,8,11,19,167
50015953300,2114,1108,465,541,0,0,1874,31,0,14,15,180
50015953400,1877,1021,428,428,0,0,1656,27,0,6,22,166
50015953500,3940,2105,992,843,0,0,3453,69,2,20,47,349
50015953600,3880,1878,1353,649,0,0,3209,90,4,21,58,498
50009950100,1206,608,240,358,0,0,1098,15,14,2,9,68
50009950200,830,431,156,243,0,0,716,15,0,4,8,87
50009950500,2427,1203,481,743,0,0,2194,33,1,8,17,174
50019951100,1532,721,334,477,0,0,1353,10,1,1,15,152
50019951200,2965,1388,720,857,0,0,2600,36,2,7,17,303
50019951300,470,229,113,128,0,0,405,3,1,3,2,56
50019951400,1458,890,299,269,0,0,1286,28,1,4,10,129
50019951500,2032,1291,417,324,0,0,1773,44,2,12,21,180
50019951600,3047,1431,775,841,0,0,2700,44,1,6,23,273
50019951700,3031,1490,599,942,0,0,2657,61,3,12,20,278
50019951800,1788,1158,316,314,0,0,1587,25,1,8,18,149
50019951900,1589,719,380,490,0,0,1400,32,0,3,2,152
50019952000,1475,805,338,332,0,0,1325,20,0,7,10,113
50007000100,3223,1965,759,499,0,0,2509,76,32,138,105,363
50007000200,4573,2912,1021,640,0,0,3651,103,23,99,158,539
50007000300,3801,3063,597,141,0,0,2894,91,37,135,131,513
50007000600,3001,1723,1127,151,0,0,2286,81,32,80,101,421
50007000800,2064,1440,460,164,0,0,1685,47,7,31,42,252
50007000900,2383,1388,856,139,0,0,1935,43,11,32,46,316
50007001000,2097,1417,572,108,0,0,1609,57,25,57,72,277
50007001100,1790,1236,358,196,0,0,1408,34,21,35,61,231
50007002101,2328,1026,545,757,0,0,2060,42,1,16,19,190
50007002103,3022,1275,777,970,0,0,2658,38,4,9,19,294
50007002104,2395,1149,564,682,0,0,2053,47,1,23,35,236
50007002201,838,486,270,82,0,0,630,21,9,23,41,114
50007002202,3548,1660,1102,786,0,0,2976,64,4,80,68,356
50007002301,969,454,309,206,0,0,827,18,1,9,15,99
50007002303,3840,1757,1153,930,0,0,3218,92,6,61,77,386
50007002304,2231,1019,690,522,0,0,1842,37,8,47,66,231
50007002400,1939,1295,449,195,0,0,1480,45,17,101,65,231
50007002501,1520,1046,315,159,0,0,1193,31,8,70,36,182
50007002502,1172,940,166,66,0,0,886,30,13,33,40,170
50007002601,4027,2034,1115,878,0,0,3243,90,7,157,94,436
50007002602,3012,1604,760,648,0,0,2432,74,11,98,71,326
50007002701,4711,1975,1673,1063,0,0,3853,99,13,118,113,515
50007002702,3782,1489,1312,981,0,0,3213,75,5,64,77,348
50007002800,4111,2182,854,1075,0,0,3536,84,2,42,44,403
50007002900,4929,2549,1116,1264,0,0,4324,70,6,30,66,433
50007003000,3194,1775,709,710,0,0,2752,48,2,18,36,338
50007003101,6258,3048,1695,1515,0,0,5254,115,9,125,112,643
50007003102,1779,897,438,444,0,0,1512,44,1,21,13,188
50007003301,4108,2053,1000,1055,0,0,3184,69,10,221,136,488
50007003304,4093,2381,1143,569,0,0,3233,100,26,122,116,496
50007003401,4382,2339,1016,1027,0,0,3625,72,2,60,79,544
50007003402,1794,1008,385,401,0,0,1520,35,0,21,28,190
50007003501,3107,1733,655,719,0,0,2603,46,5,33,50,370
50007003502,4376,2226,1254,896,0,0,3784,78,2,26,41,445
50007003503,1601,928,384,289,0,0,1427,23,2,9,11,129
50007003600,3071,1649,987,435,0,0,2543,84,5,80,65,294
50007003900,3076,1853,1113,110,0,0,2257,130,11,65,64,549
50007004002,3300,1868,841,591,0,0,2634,85,25,87,85,384
50007004100,1793,995,764,34,0,0,1337,48,6,38,51,313
50007004200,3319,2325,910,84,0,0,2572,96,22,75,77,477
50007980000,0,0,0,0,0,0,0,0,0,0,0,0
50011010101,2255,1008,536,711,0,0,1961,20,0,4,6,264
50011010102,2140,916,522,702,0,0,1871,20,2,8,28,211
50011010200,3063,1499,766,798,0,0,2679,42,4,2,31,305
50011010300,2487,1521,472,494,0,0,2191,50,1,6,26,213
50011010400,2443,1133,672,638,0,0,2158,29,0,3,12,241
50011010500,4341,2104,979,1258,0,0,3860,53,1,8,38,381
50011010600,6112,3081,1557,1474,0,0,5391,84,2,29,68,538
50011010700,2130,1075,689,366,0,0,1794,41,3,12,22,258
50011010800,1673,829,546,298,0,0,1456,23,4,9,19,162
50011010900,3619,1628,849,1142,0,0,3212,62,2,14,27,302
50011011000,5768,2636,1558,1574,0,0,5037,89,9,37,57,539
50027965000,2967,1900,711,356,0,0,2407,50,2,63,43,402
50027965100,2060,1139,540,381,0,0,1809,26,7,12,29,177
50027965400,2830,1484,764,582,0,0,2476,59,2,11,20,262
50027965501,174,88,63,23,0,0,152,2,1,3,2,14
50027965502,8479,4346,2856,1277,0,0,7282,148,10,107,132,800
50027965600,319,189,98,32,0,0,271,6,0,9,2,31
50027965700,2657,1419,614,624,0,0,2314,40,5,15,18,265
50027965800,2569,1385,664,520,0,0,2203,47,3,12,29,275
50027965901,1173,563,367,243,0,0,1026,9,0,4,9,125
50027965902,916,448,251,217,0,0,791,18,1,5,14,87
50027966000,3097,1830,627,640,0,0,2726,50,4,27,27,263
50027966100,1640,742,355,543,0,0,1462,19,0,6,16,137
50027966200,1209,596,277,336,0,0,1072,13,0,8,16,100
50027966300,1538,705,459,374,0,0,1336,19,0,8,17,158
50027966501,2196,1142,475,579,0,0,1916,41,2,4,33,200
50027966502,869,412,195,262,0,0,743,14,0,6,14,92
50027966600,3408,1918,722,768,0,0,2980,50,8,17,52,301
50027966700,3679,1897,909,873,0,0,3215,61,2,25,47,329
50027966800,2340,1310,506,524,0,0,2057,47,0,14,24,198
50005957000,2301,1153,509,639,0,0,2051,16,1,6,24,203
50005957100,1465,738,326,401,0,0,1316,21,2,1,9,116
50005957200,570,297,154,119,0,0,511,6,0,3,11,39
50005957300,2939,1321,852,766,0,0,2641,39,4,28,22,205
50005957400,2071,1197,404,470,0,0,1828,45,2,14,28,154
50005957500,2288,1195,463,630,0,0,2006,32,5,18,31,196
50005957600,2209,1063,506,640,0,0,1938,27,1,13,22,208
50005957700,2116,1180,507,429,0,0,1884,32,3,10,10,177
50005957800,2198,1085,495,618,0,0,1972,35,4,4,20,163
50005957900,2347,1083,515,749,0,0,2068,40,6,11,17,205
50023954000,3242,1786,720,736,0,0,2818,33,3,16,46,326
50023954100,2078,1187,502,389,0,0,1818,30,1,6,21,202
50023954200,2028,1198,420,410,0,0,1761,29,1,10,23,204
50023954300,3233,1798,955,480,0,0,2785,64,1,24,42,317
50023954400,2761,1511,695,555,0,0,2437,39,6,13,21,245
50023954500,1712,868,370,474,0,0,1502,39,3,14,16,138
50023954600,2067,1358,471,238,0,0,1753,44,3,26,19,222
50023954700,1277,892,220,165,0,0,1094,17,2,14,16,134
50023954800,1662,1120,398,144,0,0,1382,32,2,21,22,203
50023954900,1423,860,344,219,0,0,1191,27,0,17,19,169
50023955000,2165,1304,427,434,0,0,1894,35,2,7,21,206
50023955100,3339,1774,796,769,0,0,2917,87,4,15,33,283
50023955200,2630,1493,600,537,0,0,2317,58,3,28,29,195
50023955300,3071,1287,711,1073,0,0,2720,49,1,6,39,256
50023955400,2184,1037,511,636,0,0,1967,30,0,8,15,164
50023955501,1587,791,416,380,0,0,1410,27,0,12,12,126
50023955502,2233,1079,605,549,0,0,1962,58,3,12,24,174
50023955600,1434,800,418,216,0,0,1225,26,1,5,26,151
50023955700,1858,1076,539,243,0,0,1622,21,5,14,18,178
50023955800,723,348,253,122,0,0,618,9,6,3,11,76
50001960100,2890,1539,659,692,0,0,2556,55,0,12,20,247
50001960200,2153,1138,479,536,0,0,1886,32,1,11,14,209
50001960300,1883,1089,454,340,0,0,1589,52,5,4,21,212
50001960400,3966,1911,972,1083,0,0,3457,73,0,23,41,372
50001960500,2933,1547,699,687,0,0,2561,51,3,20,18,280
50001960600,2016,1198,433,385,0,0,1745,35,0,12,22,202
50001960700,2851,1709,599,543,0,0,2462,43,4,37,25,280
50001960800,2589,1513,765,311,0,0,2025,102,11,82,54,315
50001960900,3882,1943,798,1141,0,0,3377,68,0,30,40,367
50001961000,1526,791,302,433,0,0,1340,20,1,24,8,133
50013020100,2616,1293,653,670,0,0,2242,42,1,9,18,304
50013020200,3138,1585,733,820,0,0,2713,46,4,16,38,321
50025967000,2457,1507,555,395,0,0,2130,53,4,19,30,221
50025967100,834,485,161,188,0,0,722,4,1,6,11,90
50025967200,2421,1351,553,517,0,0,2148,37,4,16,20,196
50025967300,1395,655,418,322,0,0,1157,16,2,8,12,200
50025967400,703,371,204,128,0,0,597,14,4,3,9,76
50025967500,802,371,214,217,0,0,687,9,0,3,7,96
50025967600,2441,1504,531,406,0,0,2134,42,2,12,31,220
50025967700,1791,1176,404,211,0,0,1526,28,2,14,24,197
50025967800,1332,810,346,176,0,0,1150,29,1,4,13,135
50025967900,1169,547,358,264,0,0,973,25,12,7,5,147
50025968000,1542,774,427,341,0,0,1294,55,1,13,20,159
50025968100,892,369,239,284,0,0,761,8,2,0,16,105
50025968200,1282,742,283,257,0,0,1137,15,3,1,17,109
50025968300,1000,605,210,185,0,0,869,12,0,6,18,95
50025968400,3343,2018,775,550,0,0,2830,63,9,43,53,345
50025968500,4064,2959,747,358,0,0,3369,127,23,55,72,418
50025968600,1740,1084,441,215,0,0,1435,43,0,49,32,181
50025968700,3329,1776,692,861,0,0,2942,43,2,13,42,287
50017959000,1517,745,390,382,0,0,1362,8,1,7,10,129
50017959101,1494,672,361,461,0,0,1363,21,0,5,5,100
50017959102,1862,865,465,532,0,0,1699,19,0,6,12,126
50017959200,2386,979,717,690,0,0,2203,32,0,6,8,137
50017959300,1855,1001,345,509,0,0,1671,17,0,3,19,145
50017959400,3258,1721,767,770,0,0,2886,50,1,20,25,276
50017959500,3357,1739,810,808,0,0,2958,40,4,22,23,310
50017959600,2160,1358,459,343,0,0,1877,23,0,20,27,213
50017959700,1229,635,342,252,0,0,1099,17,0,2,22,89
50017959800,1902,953,457,492,0,0,1687,26,2,10,13,164
50003970401,2334,1100,648,586,0,0,1950,41,1,35,35,272
50003970402,861,427,270,164,0,0,719,23,2,14,17,86
50003970500,1159,568,364,227,0,0,971,14,2,16,14,142
50003970601,1429,634,325,470,0,0,1250,10,0,11,21,137
50003970800,2755,1347,670,738,0,0,2475,33,0,10,19,218
50003970900,1114,750,122,242,0,0,1028,12,0,2,11,61
50003971000,1777,986,425,366,0,0,1485,30,91,14,24,133
50003971100,2955,1577,658,720,0,0,2604,45,2,35,45,224
50003971200,3330,2165,615,550,0,0,2913,69,7,21,43,277
50003971300,2376,807,1133,436,0,0,2063,29,3,12,30,239
50003971400,2209,1108,603,498,0,0,1870,45,1,12,27,254
50003971600,3080,1480,810,790,0,0,2681,57,3,21,31,287
