GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
54103004900,3055,1395,996,445,17,0,0,1,0,2710,24,0,23,29,269
54103030400,1259,520,424,235,2,0,0,3,0,1103,16,0,1,8,131
54103030500,1823,817,585,265,9,0,0,2,0,1643,8,1,5,16,150
54103030700,2146,906,744,337,21,0,0,1,0,1931,19,3,6,12,175
54103030800,888,391,274,174,2,0,0,0,0,812,8,1,2,5,60
54057010100,1400,403,655,318,12,0,0,0,0,1248,11,1,6,11,123
54057010200,2376,504,1284,537,23,0,0,3,0,2082,27,1,12,22,232
54057010300,2839,644,1489,662,18,0,0,2,0,2460,17,1,33,33,295
54057010400,2603,499,1522,543,15,0,0,0,0,2281,29,2,9,12,270
54057010500,3998,865,2063,983,34,0,1,0,0,3510,27,32,18,15,396
54057010600,2733,747,1297,628,24,0,0,0,0,2374,30,63,16,6,244
54057010700,966,267,433,249,9,0,0,0,0,794,4,73,5,0,90
54089000500,2691,1235,752,580,11,0,0,1,0,2405,50,66,3,18,149
54089000600,1854,801,557,424,4,0,1,1,0,1685,41,9,5,3,111
54089000700,1112,606,215,237,8,0,0,1,0,962,26,33,1,7,83
54089000800,2081,869,681,448,6,0,0,0,0,1941,23,5,5,10,97
54017965000,1645,295,1009,285,10,0,0,0,0,1482,20,1,1,6,135
54017965100,2115,300,1263,477,4,0,1,2,0,1963,22,2,12,7,109
54033030100,3968,1592,1210,1121,32,0,1,1,0,3407,67,51,6,21,416
54033030200,1657,770,456,411,11,0,0,0,0,1424,55,18,5,11,144
54033030300,1291,615,284,377,7,0,0,1,0,1104,31,20,1,8,127
54033030400,1940,903,517,491,18,0,0,1,0,1591,74,93,9,8,165
54033030501,457,154,167,130,3,0,0,1,0,409,7,0,2,1,38
54033030502,1737,742,538,437,10,0,0,2,0,1526,42,2,4,10,153
54033030601,1365,545,443,355,13,0,0,0,0,1200,22,2,5,13,123
54033030603,1210,469,419,309,8,0,0,1,0,1043,27,2,12,14,112
54033030604,2038,835,607,564,23,0,0,0,0,1766,47,14,3,14,194
54033030700,980,358,363,248,8,0,0,1,0,867,15,2,0,7,89
54033030801,718,238,268,201,8,0,0,0,0,626,10,3,2,2,75
54033030802,1612,608,580,405,8,0,2,0,0,1445,23,0,8,6,130
54033031000,1526,678,433,403,8,0,0,1,0,1341,31,2,3,5,144
54033031100,1320,469,507,332,7,0,0,0,0,1166,35,1,7,6,105
54033031200,1723,602,661,443,10,0,0,0,0,1501,21,2,19,14,166
54033031300,1940,590,781,552,7,0,0,1,0,1746,29,1,7,18,139
54033031400,1080,296,481,293,4,0,1,0,0,964,12,1,3,3,97
54033031500,595,178,265,148,3,0,0,0,0,527,8,1,0,2,57
54033031600,1894,484,840,523,21,0,1,0,0,1704,18,2,9,9,152
54033031700,904,284,352,257,3,0,0,0,0,801,8,1,2,0,92
54033031800,824,311,285,217,4,0,0,1,0,740,1,10,3,2,68
54033031900,2264,946,752,543,13,0,2,1,0,1991,36,25,8,18,186
54033032000,1498,584,552,339,5,0,0,2,0,1322,21,2,6,18,129
54033032103,5814,2143,2321,1287,38,0,0,2,0,5011,105,10,51,110,527
54033032104,2768,972,1136,636,12,0,0,0,0,2403,49,6,16,37,257
54055000900,2040,575,846,541,11,0,0,1,0,1935,29,2,0,6,68
54055001000,2851,836,1123,756,19,0,0,2,0,2652,20,4,6,12,157
54055001100,3697,1164,1461,922,18,0,2,2,0,3383,38,10,18,22,226
54055001200,2458,769,935,660,15,0,1,2,0,2259,33,7,7,8,144
54055001300,2239,785,691,672,18,0,1,0,0,2025,30,29,11,18,126
54055001400,1667,662,524,422,10,0,0,0,0,1440,26,65,7,17,112
54055001500,4127,1372,1495,1109,16,0,1,2,0,3626,50,96,38,55,262
54055001600,741,286,228,204,5,0,0,0,0,687,6,3,1,1,43
54055001700,2970,937,1104,809,14,0,0,2,0,2688,30,5,8,32,207
54055001800,2665,847,962,713,10,0,0,2,0,2432,25,18,9,18,163
54055001900,2256,952,637,618,14,0,0,0,0,1758,14,329,7,17,131
54055002000,1463,663,363,391,10,0,0,3,0,964,28,411,5,3,52
54055002100,1953,766,675,460,7,0,0,1,0,1633,22,155,9,19,115
54055002200,3215,1186,1152,777,16,0,0,1,0,2588,32,301,33,25,236
54055002300,2555,705,1071,677,13,1,0,0,0,2348,33,10,10,22,132
54055002400,1576,463,680,369,5,0,0,2,0,1409,20,20,5,7,115
54085962300,2485,428,1481,503,11,0,1,2,0,2252,17,7,6,7,196
54085962400,1639,300,883,385,9,0,0,2,0,1487,12,1,5,8,126
54085962500,1786,279,1064,386,10,0,0,0,0,1652,11,0,4,12,107
54071970400,1023,337,452,179,0,0,0,0,0,959,7,0,2,4,51
54071970500,2514,1007,821,540,6,0,0,0,0,2206,15,15,9,9,260
54071970600,1197,445,360,304,4,0,0,0,0,1030,16,1,5,4,141
54007967900,2758,1363,804,542,10,0,0,1,0,2580,22,8,12,9,127
54007968000,2466,1135,782,483,10,0,0,1,0,2285,21,2,11,7,140
54007968100,2348,1180,619,492,10,0,0,1,0,2184,17,5,6,7,129
54081000200,2286,1243,454,556,15,0,2,1,0,1332,56,738,18,26,116
54081000300,2731,1283,776,623,15,0,0,0,0,1880,44,633,31,28,115
54081000400,2093,1017,513,528,14,0,0,2,0,1479,40,450,18,17,89
54081000500,3087,1227,1131,683,18,0,1,1,0,2643,64,93,47,48,192
54081000600,3091,1223,982,808,20,0,2,0,0,2527,64,244,19,44,193
54081000700,1894,636,743,479,7,0,0,1,0,1697,18,39,2,19,119
54081000802,2865,763,1344,697,12,0,1,2,0,2647,37,16,9,33,123
54081000803,3324,853,1629,773,20,0,0,0,0,3015,54,4,39,49,163
54081000804,3845,1081,1715,972,17,0,0,0,0,3541,60,22,14,26,182
54081000900,3972,1305,1553,1028,24,0,0,3,0,3725,49,22,6,10,160
54081001001,3278,1005,1356,848,18,0,0,1,0,3074,32,2,7,12,151
54081001002,1996,685,732,528,11,0,0,1,0,1830,20,10,14,7,115
54081001100,3447,979,1454,948,14,0,0,1,0,3223,24,68,9,14,109
54081001200,2645,773,1157,651,14,0,0,1,0,2523,19,3,2,6,92
54081001300,3181,1113,1258,731,22,0,0,1,0,2768,41,137,21,39,175
54081001400,3412,1081,1408,844,16,1,1,5,0,3098,55,61,15,23,160
54081001500,2796,1085,990,680,8,0,0,1,0,2373,48,86,57,73,159
54051020200,1147,443,360,303,4,0,0,2,0,1004,18,2,5,16,102
54051020500,549,230,151,152,2,0,0,1,0,434,10,1,4,19,81
54051020601,1395,604,416,329,9,0,0,2,0,1182,20,2,10,28,153
54051020702,958,399,360,171,7,0,0,0,0,807,18,2,5,14,112
54051020800,2570,877,1020,589,13,0,0,4,0,2270,23,1,10,19,247
54051020900,2906,1013,1128,664,12,0,0,1,0,2600,20,0,5,23,258
54051021001,777,244,311,187,8,0,0,1,0,702,6,1,7,5,56
54051021002,3311,1237,1216,749,19,0,0,3,0,2894,42,3,24,24,324
54051021100,3021,1184,1078,651,15,0,2,5,0,2633,25,4,20,42,297
54051021300,2275,840,874,487,6,0,0,4,0,1956,21,3,18,39,238
54083965900,1999,850,640,359,9,0,1,4,0,1822,13,3,7,6,148
54083966000,3759,1649,1164,667,20,0,0,6,0,3381,49,3,22,30,274
54083966100,2752,1179,765,625,24,0,2,4,0,2437,43,11,15,21,225
54083966200,1750,735,515,352,11,0,1,2,0,1572,13,2,3,12,148
54083966300,1977,723,730,340,7,0,0,1,0,1791,4,1,5,6,170
54083966400,3254,1400,1068,538,13,0,0,5,0,2925,23,2,10,24,270
54083966500,1880,880,555,319,4,0,0,5,0,1726,9,3,8,10,124
54029020600,3125,1396,1050,591,16,0,1,3,0,2515,47,7,20,84,452
54029020700,3306,1501,1057,660,20,0,2,2,0,2731,52,12,24,67,420
54029020900,1832,733,650,403,8,0,0,2,0,1609,30,1,8,14,170
